SSN,Dnum,Chức vụ
S0011,4,Sale Director
S0019,7,Sale Director
S0020,11,sale rep
S0027,2,Sale Director
S0044,4,sale rep
S0050,3,sale executive
S0052,2,sale man
S0056,11,sale supervisor
S0062,1,Sale Director
S0065,5,sale executive
S0070,8,sale supervisor
S0074,1,sale supervisor
S0079,11,sale man
S0080,3,sale man
S0084,1,Sale Director
S0092,12,sale rep
S0093,2,sale executive
S0098,12,Sale Director
S0099,2,sale man
S0101,6,sale rep
S0102,11,sale executive
S0106,2,Sale Director
S0117,4,Sale Director
S0122,1,sale supervisor
S0124,1,sale supervisor
S0127,3,sale man
S0134,4,sale man
S0137,11,sale man
S0141,3,sale rep
S0147,2,Sale Director
S0150,2,sale executive
S0154,12,sale executive
S0157,2,sale supervisor
S0167,12,sale supervisor
S0174,5,sale rep
S0179,2,sale rep
S0187,6,sale executive
S0188,11,sale man
S0194,4,sale man
S0197,12,sale rep
S0199,2,sale man
S0201,11,sale supervisor
S0205,1,Sale Director
S0207,2,Sale Director
S0208,10,sale man
S0221,5,sale supervisor
S0228,2,Sale Director
S0229,2,sale rep
S0232,3,sale rep
S0233,12,sale executive
S0238,4,sale executive
S0244,12,sale rep
S0245,11,sale executive
S0248,3,sale supervisor
S0249,2,sale man
S0254,11,sale executive
S0255,3,sale man
S0258,5,sale man
S0269,10,sale executive
S0281,11,sale rep
S0286,11,sale executive
S0290,11,sale supervisor
S0292,2,sale rep
S0316,11,sale man
S0317,11,sale supervisor
S0318,2,Sale Director
S0327,2,sale executive
S0334,11,sale supervisor
S0335,6,sale rep
S0337,8,sale supervisor
S0340,11,sale rep
S0344,5,Sale Director
S0345,1,sale executive
S0352,3,sale supervisor
S0353,4,sale man
S0354,2,sale man
S0355,11,sale supervisor
S0361,3,sale rep
S0376,3,Sale Director
S0381,11,Sale Director
S0382,4,sale rep
S0392,12,sale supervisor
S0395,1,sale supervisor
S0400,3,sale supervisor
S0403,2,sale rep
S0406,2,sale executive
S0408,12,sale man
S0409,5,sale supervisor
S0414,2,sale rep
S0416,3,sale man
S0417,11,sale rep
S0428,11,sale supervisor
S0430,2,sale rep
S0433,1,sale supervisor
S0435,8,sale executive
S0436,2,sale supervisor
S0444,12,sale executive
S0446,5,sale executive
S0448,8,sale executive
S0453,3,Sale Director
S0454,4,sale man
S0457,6,sale man
S0462,12,sale supervisor
S0463,11,sale executive
S0471,12,Sale Director
S0480,9,sale supervisor
S0487,2,sale executive
S0491,2,Sale Director
S0496,12,Sale Director
S0502,2,sale rep
S0503,12,sale supervisor
S0505,6,sale executive
S0507,3,Sale Director
S0510,1,sale rep
S0512,2,sale man
S0515,2,sale supervisor
S0526,4,sale rep
S0533,3,sale supervisor
S0534,2,sale man
S0538,1,sale executive
S0539,6,sale executive
S0549,2,Sale Director
S0558,2,sale rep
S0570,7,sale supervisor
S0572,2,sale supervisor
S0578,11,sale rep
S0582,11,sale rep
S0584,12,sale supervisor
S0587,2,Sale Director
S0589,6,Sale Director
S0602,11,sale man
S0608,12,sale rep
S0617,2,sale supervisor
S0620,7,sale supervisor
S0621,8,sale rep
S0622,1,sale man
S0623,2,sale executive
S0626,10,sale executive
S0629,3,Sale Director
S0632,7,sale man
S0643,11,sale rep
S0645,12,sale man
S0647,10,sale supervisor
S0649,11,Sale Director
S0655,11,Sale Director
S0662,11,sale supervisor
S0663,11,sale rep
S0674,5,sale executive
S0676,5,Sale Director
S0681,2,Sale Director
S0684,6,sale supervisor
S0691,3,sale supervisor
S0692,12,sale rep
S0699,11,sale man
S0703,2,sale supervisor
S0704,12,sale man
S0719,3,Sale Director
S0723,1,sale man
S0729,12,sale rep
S0739,2,sale executive
S0740,1,sale rep
S0741,2,sale man
S0746,12,sale man
S0749,2,sale supervisor
S0757,5,Sale Director
S0759,12,sale executive
S0766,7,sale supervisor
S0768,11,sale rep
S0770,11,Sale Director
S0771,11,sale man
S0783,11,sale supervisor
S0787,11,sale executive
S0790,1,sale executive
S0799,2,Sale Director
S0805,11,sale man
S0818,9,sale supervisor
S0833,12,sale executive
S0835,2,sale executive
S0847,1,sale supervisor
S0855,11,sale man
S0859,1,Sale Director
S0867,7,sale executive
S0871,11,sale supervisor
S0882,11,sale man
S0888,11,Sale Director
S0891,1,sale supervisor
S0903,12,Sale Director
S0907,11,sale rep
S0921,3,sale man
S0922,7,Sale Director
S0924,2,sale rep
S0928,3,sale supervisor
S0932,2,sale supervisor
S0938,1,sale executive
S0943,4,sale rep
S0949,2,Sale Director
S0955,3,sale rep
S0956,12,sale man
S0958,2,sale supervisor
S0959,2,sale supervisor
S0965,4,sale man
S0967,11,sale executive
S0968,11,sale rep
S0973,2,sale supervisor
S0975,1,sale man
S0987,1,sale supervisor
S0992,8,sale rep
S0993,2,sale executive
